,sigma,Ir_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,1200.0,91.0,17296,job__12_740198__1200_000000__91_0,14536976,-9.12310461,1202.56284941963,-9.12140461,12.74019843210632,0.01543427
1,0.2,1,-5,1200.0,91.0,17296,job__12_881756__1200_000000__91_0,14536978,-9.17476992,1215.9222223254344,-9.17306992,12.881756201141632,0.0003069900000003
2,0.2,1,-5,1200.0,91.0,17296,job__13_023314__1200_000000__91_0,14536980,-9.22054711,1229.281443951532,-9.21884711,13.02331399657186,0.0001031299999993
3,0.2,1,-5,1200.0,91.0,17296,job__13_164872__1200_000000__91_0,14536983,-9.26077568,1242.6486037811965,-9.25907568,13.164871580457293,0.0155536000000005
4,0.2,1,-5,1200.0,91.0,17296,job__13_306429__1200_000000__91_0,14536986,-9.2957746,1256.0122284429735,-9.2940746,13.306429466872896,0.01556712
5,0.2,1,-5,1200.0,91.0,17296,job__13_447987__1200_000000__91_0,14536989,-9.32584384,1269.3610595418347,-9.32414384,13.4479872174463,0.0003532400000008
6,0.2,1,-5,1200.0,91.0,17296,job__13_589545__1200_000000__91_0,14536992,-9.35126643,1282.7405367244758,-9.34956643,13.589544893579452,1.018787999999999
7,0.2,1,-5,1200.0,91.0,17296,job__13_731103__1200_000000__91_0,14536994,-9.37230864,1296.089479292595,-9.37060864,13.73110262120375,0.0003799200000003
8,0.2,1,-5,1200.0,91.0,17296,job__13_872660__1200_000000__91_0,14536996,-9.38922197,1309.455046704292,-9.38752197,13.872660574094333,1.0550547200000011
9,0.2,1,-5,1200.0,91.0,17296,job__14_014218__1200_000000__91_0,14537000,-9.4022431,1322.8080472841975,-9.4005431,14.014218298174344,0.0004092199999998
10,0.2,1,-5,1200.0,91.0,17296,job__14_155776__1200_000000__91_0,14537003,-9.41159508,1336.1757166876114,-9.40989508,14.155776,1.0899172000000004
11,0.2,1,-5,1200.0,91.0,17296,job__14_297334__1200_000000__91_0,14537006,-9.41748918,1349.5410770849728,-9.41578918,14.297333662013251,1.10682362
12,0.2,1,-5,1200.0,91.0,17296,job__14_438892__1200_000000__91_0,14537008,-9.42012515,1362.896126575996,-9.41842515,14.438891467209606,1.1233798000000004
13,0.2,1,-5,1200.0,91.0,17296,job__14_580449__1200_000000__91_0,14537011,-9.41969176,1376.2615347458966,-9.41799176,14.58044933919542,0.0004758000000002
14,0.2,1,-5,1200.0,91.0,17296,job__14_722007__1200_000000__91_0,14537014,-9.41636693,1389.619355044183,-9.41466693,14.722007145921742,1.1554494599999998
15,0.2,1,-5,1200.0,91.0,17296,job__14_863565__1200_000000__91_0,14537016,-9.41031928,1402.992374971967,-9.40861928,14.863564912317122,1.1709651399999998
16,0.2,1,-5,1200.0,91.0,17296,job__15_005123__1200_000000__91_0,14537018,-9.40170862,1416.343355835084,-9.40000862,15.005122581829726,0.0005314699999985
17,0.2,1,-5,1200.0,91.0,17296,job__15_146680__1200_000000__91_0,14537019,-9.39068503,1429.7116117791156,-9.38898503,15.14668023212376,1.2009691700000005
18,0.2,1,-5,1200.0,91.0,17296,job__15_288238__1200_000000__91_0,14537022,-9.37739012,1443.0724815578094,-9.37569012,15.288238066692568,0.0145608900000002
19,0.2,1,-5,1200.0,91.0,17296,job__15_429796__1200_000000__91_0,14537027,-9.36195754,1456.4327541797654,-9.36025754,15.429795937985586,0.0144187999999996
20,0.2,1,-5,1200.0,91.0,17296,job__12_740198__1200_000000__91_0,14536976,-9.12310461,1202.56284941963,-9.12140461,12.74019843210632,0.01543427
21,0.2,1,-5,1200.0,91.0,17296,job__12_881756__1200_000000__91_0,14536978,-9.17476992,1215.9222223254344,-9.17306992,12.881756201141632,0.0003069900000003
22,0.2,1,-5,1200.0,91.0,17296,job__13_023314__1200_000000__91_0,14536980,-9.22054711,1229.281443951532,-9.21884711,13.02331399657186,0.0001031299999993
23,0.2,1,-5,1200.0,91.0,17296,job__13_164872__1200_000000__91_0,14536983,-9.26077568,1242.6486037811965,-9.25907568,13.164871580457293,0.0155536000000005
24,0.2,1,-5,1200.0,91.0,17296,job__13_306429__1200_000000__91_0,14536986,-9.2957746,1256.0122284429735,-9.2940746,13.306429466872896,0.01556712
25,0.2,1,-5,1200.0,91.0,17296,job__13_447987__1200_000000__91_0,14536989,-9.32584384,1269.3610595418347,-9.32414384,13.4479872174463,0.0003532400000008
26,0.2,1,-5,1200.0,91.0,17296,job__13_589545__1200_000000__91_0,14536992,-9.35126643,1282.7405367244758,-9.34956643,13.589544893579452,1.018787999999999
27,0.2,1,-5,1200.0,91.0,17296,job__13_731103__1200_000000__91_0,14536994,-9.37230864,1296.089479292595,-9.37060864,13.73110262120375,0.0003799200000003
28,0.2,1,-5,1200.0,91.0,17296,job__13_872660__1200_000000__91_0,14536996,-9.38922197,1309.455046704292,-9.38752197,13.872660574094333,1.0550547200000011
29,0.2,1,-5,1200.0,91.0,17296,job__14_014218__1200_000000__91_0,14537000,-9.4022431,1322.8080472841975,-9.4005431,14.014218298174344,0.0004092199999998
30,0.2,1,-5,1200.0,91.0,17296,job__14_155776__1200_000000__91_0,14537003,-9.41159508,1336.1757166876114,-9.40989508,14.155776,1.0899172000000004
31,0.2,1,-5,1200.0,91.0,17296,job__14_297334__1200_000000__91_0,14537006,-9.41748918,1349.5410770849728,-9.41578918,14.297333662013251,1.10682362
32,0.2,1,-5,1200.0,91.0,17296,job__14_438892__1200_000000__91_0,14537008,-9.42012515,1362.896126575996,-9.41842515,14.438891467209606,1.1233798000000004
33,0.2,1,-5,1200.0,91.0,17296,job__14_580449__1200_000000__91_0,14537011,-9.41969176,1376.2615347458966,-9.41799176,14.58044933919542,0.0004758000000002
34,0.2,1,-5,1200.0,91.0,17296,job__14_722007__1200_000000__91_0,14537014,-9.41636693,1389.619355044183,-9.41466693,14.722007145921742,1.1554494599999998
35,0.2,1,-5,1200.0,91.0,17296,job__14_863565__1200_000000__91_0,14537016,-9.41031928,1402.992374971967,-9.40861928,14.863564912317122,1.1709651399999998
36,0.2,1,-5,1200.0,91.0,17296,job__15_005123__1200_000000__91_0,14537018,-9.40170862,1416.343355835084,-9.40000862,15.005122581829726,0.0005314699999985
37,0.2,1,-5,1200.0,91.0,17296,job__15_146680__1200_000000__91_0,14537019,-9.39068503,1429.7116117791156,-9.38898503,15.14668023212376,1.2009691700000005
38,0.2,1,-5,1200.0,91.0,17296,job__15_288238__1200_000000__91_0,14537022,-9.37739012,1443.0724815578094,-9.37569012,15.288238066692568,0.0145608900000002
39,0.2,1,-5,1200.0,91.0,17296,job__15_429796__1200_000000__91_0,14537027,-9.36195754,1456.4327541797654,-9.36025754,15.429795937985586,0.0144187999999996
40,0.2,1,-5,1200.0,91.0,17296,job__15_571354__1200_000000__91_0,14537030,-9.34451495,1469.7928755220146,-9.342814950000001,15.571353560492357,0.0006115299999986945
